,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__regressor__penalty,param_estimator__regressor__alpha,param_estimator__regressor__l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
17,0.001800776,0.000399958,0.000601387,0.000491037,elasticnet,0.0001,0.25,"{'estimator__regressor__alpha': 0.0001, 'estimator__regressor__l1_ratio': 0.25, 'estimator__regressor__penalty': 'elasticnet'}",-937.5461382,-1889.877952,-153.2695407,-1261.863701,-260.72049,-135.5166416,-12261.40505,-26697.8967,-985.2848166,-1054.878046,-4515.018695,8101.944072,11
18,0.002102089,0.000300344,0.000600386,0.000490213,elasticnet,0.0001,0.5,"{'estimator__regressor__alpha': 0.0001, 'estimator__regressor__l1_ratio': 0.5, 'estimator__regressor__penalty': 'elasticnet'}",-937.5472213,-1889.879468,-153.2696593,-1261.864639,-260.7206305,-135.5172727,-12261.40711,-26697.89794,-985.2850092,-1054.878255,-4515.019507,8101.944399,12
19,0.00190177,0.000300296,0.000400376,0.000490359,elasticnet,0.0001,0.75,"{'estimator__regressor__alpha': 0.0001, 'estimator__regressor__l1_ratio': 0.75, 'estimator__regressor__penalty': 'elasticnet'}",-937.5483044,-1889.880985,-153.2697779,-1261.865578,-260.7207711,-135.5179039,-12261.40916,-26697.89918,-985.2852018,-1054.878464,-4515.020318,8101.944727,13
20,0.002002645,2.42E-06,0.000499606,0.000499612,elasticnet,0.0001,0.999,"{'estimator__regressor__alpha': 0.0001, 'estimator__regressor__l1_ratio': 0.999, 'estimator__regressor__penalty': 'elasticnet'}",-937.5493833,-1889.882495,-153.269896,-1261.866513,-260.7209112,-135.5185326,-12261.41121,-26697.90041,-985.2853935,-1054.878673,-4515.021127,8101.945053,14
21,0.001801586,0.000400293,0.000700593,0.000458646,elasticnet,0.001,0.001,"{'estimator__regressor__alpha': 0.001, 'estimator__regressor__l1_ratio': 0.001, 'estimator__regressor__penalty': 'elasticnet'}",-937.5642699,-1889.899122,-153.2734998,-1261.88237,-260.7249582,-135.5251341,-12261.45701,-26697.94899,-985.2984536,-1054.885228,-4515.038595,8101.95905,17
22,0.001901793,0.000300304,0.000600505,0.00049031,elasticnet,0.001,0.25,"{'estimator__regressor__alpha': 0.001, 'estimator__regressor__l1_ratio': 0.25, 'estimator__regressor__penalty': 'elasticnet'}",-937.5750431,-1889.914203,-153.27468,-1261.891709,-260.7263579,-135.5314121,-12261.47748,-26697.96131,-985.3003671,-1054.887307,-4515.046668,8101.96231,18
23,0.00190177,0.000300296,0.000800729,0.000400364,elasticnet,0.001,0.5,"{'estimator__regressor__alpha': 0.001, 'estimator__regressor__l1_ratio': 0.5, 'estimator__regressor__penalty': 'elasticnet'}",-937.5858686,-1889.929358,-153.2758674,-1261.901096,-260.7277666,-135.5377206,-12261.49805,-26697.9737,-985.3022784,-1054.8894,-4515.054782,8101.96559,19
24,0.002001667,2.19E-07,0.000300312,0.000458734,elasticnet,0.001,0.75,"{'estimator__regressor__alpha': 0.001, 'estimator__regressor__l1_ratio': 0.75, 'estimator__regressor__penalty': 'elasticnet'}",-937.5967031,-1889.944526,-153.2770573,-1261.910495,-260.7291787,-135.544034,-12261.51864,-26697.98612,-985.3041798,-1054.891497,-4515.062905,8101.968876,20
25,0.00180161,0.000400305,0.000600576,0.000490369,elasticnet,0.001,0.999,"{'estimator__regressor__alpha': 0.001, 'estimator__regressor__l1_ratio': 0.999, 'estimator__regressor__penalty': 'elasticnet'}",-937.6075032,-1889.959648,-153.278245,-1261.919867,-260.7305886,-135.5503273,-12261.53916,-26697.99851,-985.3060637,-1054.893591,-4515.071003,8101.972156,21
26,0.00180161,0.000400364,0.000400352,0.00049033,elasticnet,0.01,0.001,"{'estimator__regressor__alpha': 0.01, 'estimator__regressor__l1_ratio': 0.001, 'estimator__regressor__penalty': 'elasticnet'}",-937.7526287,-1890.121616,-153.3134191,-1262.074313,-260.7700318,-135.6146548,-12261.9865,-26698.47302,-985.4336839,-1054.957425,-4515.241464,8102.108927,24
27,0.002001929,1.86E-07,0.000800633,0.000400317,elasticnet,0.01,0.25,"{'estimator__regressor__alpha': 0.01, 'estimator__regressor__l1_ratio': 0.25, 'estimator__regressor__penalty': 'elasticnet'}",-937.8590958,-1890.270675,-153.3251813,-1262.166741,-260.7840314,-135.676711,-12262.19109,-26698.59866,-985.4521591,-1054.97858,-4515.321925,8102.142388,25
28,0.001901746,0.000300288,0.000600529,0.00049033,elasticnet,0.01,0.5,"{'estimator__regressor__alpha': 0.01, 'estimator__regressor__l1_ratio': 0.5, 'estimator__regressor__penalty': 'elasticnet'}",-937.9683395,-1890.422302,-153.3379339,-1262.262928,-260.7994977,-135.740284,-12262.40442,-26698.73037,-985.4695247,-1055.00124,-4515.405206,8102.177726,26
29,0.002001786,2.49E-07,0.000799727,0.000399874,elasticnet,0.01,0.75,"{'estimator__regressor__alpha': 0.01, 'estimator__regressor__l1_ratio': 0.75, 'estimator__regressor__penalty': 'elasticnet'}",-938.078596,-1890.57773,-153.3509764,-1262.360516,-260.8153984,-135.8044385,-12262.61989,-26698.86408,-985.523159,-1055.024407,-4515.493285,8102.211928,27
30,0.002003169,0.000451082,0.000601172,0.000490858,elasticnet,0.01,0.999,"{'estimator__regressor__alpha': 0.01, 'estimator__regressor__l1_ratio': 0.999, 'estimator__regressor__penalty': 'elasticnet'}",-938.1893129,-1890.733942,-153.3642226,-1262.458841,-260.8315826,-135.8688517,-12262.83664,-26698.99925,-985.5950271,-1055.04799,-4515.583749,8102.245729,28
31,0.00190165,0.000297277,0.000502324,0.000502335,elasticnet,0.1,0.001,"{'estimator__regressor__alpha': 0.1, 'estimator__regressor__l1_ratio': 0.001, 'estimator__regressor__penalty': 'elasticnet'}",-939.3096431,-1891.969067,-153.6367144,-1263.635639,-261.1315889,-136.3608709,-12266.35406,-26702.73934,-986.5181795,-1055.529538,-4516.90244,8103.333153,31
32,0.002001882,2.87E-07,0.000500369,0.000500369,elasticnet,0.1,0.25,"{'estimator__regressor__alpha': 0.1, 'estimator__regressor__l1_ratio': 0.25, 'estimator__regressor__penalty': 'elasticnet'}",-940.2684032,-1893.318199,-153.7523703,-1264.487081,-261.2759342,-136.9208689,-12268.27758,-26703.96163,-987.0339671,-1055.72903,-4517.684927,8103.648787,32
33,0.001801753,0.000400496,0.000601363,0.000491017,elasticnet,0.1,0.5,"{'estimator__regressor__alpha': 0.1, 'estimator__regressor__l1_ratio': 0.5, 'estimator__regressor__penalty': 'elasticnet'}",-941.073344,-1894.693733,-153.8909365,-1265.439967,-261.4519458,-137.4274683,-12270.3929,-26705.36418,-987.7252045,-1055.973423,-4518.523391,8104.023703,33
34,0.001901817,0.000300233,0.00060041,0.000490232,elasticnet,0.1,0.75,"{'estimator__regressor__alpha': 0.1, 'estimator__regressor__l1_ratio': 0.75, 'estimator__regressor__penalty': 'elasticnet'}",-941.7831131,-1895.128034,-153.9352974,-1265.735579,-261.4260766,-137.6352975,-12272.48537,-26706.4678,-987.8537266,-1055.932368,-4519.015549,8104.445631,34
35,0.002001834,1.09E-07,0.000600505,0.00049031,elasticnet,0.1,0.999,"{'estimator__regressor__alpha': 0.1, 'estimator__regressor__l1_ratio': 0.999, 'estimator__regressor__penalty': 'elasticnet'}",-942.7527939,-1896.088697,-154.1156486,-1266.324689,-261.5730266,-138.0386588,-12275.83736,-26709.25248,-988.4669464,-1056.174842,-4520.033583,8105.340178,35
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,penalty,alpha,mean_test_score,,,,,,,,,,,,,,
,,,,,l1,1.00E-05,-4515.016136,,,,,,,,,,,,,,
,,,,,l1,0.0001,-4515.02113,,,,,,,,,,,,,,
,,,,,l1,0.001,-4515.071036,,,,,,,,,,,,,,
,,,,,l1,0.01,-4515.584114,,, ,,,,,,,,,,,
,,,,,l1,0.1,-4520.037714,,,,,,,,,,,,,,
,,,,,l2,1.00E-05,-4515.015812,,,,,,,,,,,,,,
,,,,,l2,0.0001,-4515.017884,,,,,,,,,,,,,,
,,,,,l2,0.001,-4515.038562,,,,,,,,,,,,,,
,,,,,l2,0.01,-4515.241144,,,,,,,,,,,,,,
,,,,,l2,0.1,-4516.899657,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,4515.015582,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,alpha,Ridge Penalty,LASSO,,,,,,,,,,,,,,
,,,,,0.00E+00,4515.015582,4515.015582,,,,,,,,,,,,,,
,,,,,1.00E-05,4515.016136,4515.015812,,,,,,,,,,,,,,
,,,,,0.0001,4515.02113,4515.017884,,,,,,,,,,,,,,
,,,,,0.001,4515.071036,4515.038562,,,,,,,,,,,,,,
,,,,,0.01,4515.584114,4515.241144,,,,,,,,,,,,,,
,,,,,0.1,4520.037714,4516.899657,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,-4515.015582,-4515.015582,,,,,,,,,,,,,,
,,,,,,-4515.016136,-4515.015812,,,,,,,,,,,,,,
,,,,,,-4515.02113,-4515.017884,,,,,,,,,,,,,,
,,,,,,-4515.071036,-4515.038562,,,,,,,,,,,,,,
,,,,,,-4515.584114,-4515.241144,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__regressor__penalty,param_estimator__regressor__alpha,param_estimator__regressor__l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
,0.002001929,2.83E-07,0.000400329,0.0004903,elasticnet,1.00E-05,0.001,"{'estimator__regressor__alpha': 1e-05, 'estimator__regressor__l1_ratio': 0.001, 'estimator__regressor__penalty': 'elasticnet'}",-937.5431348,-1889.87417,-153.2690141,-1261.860801,-260.7198882,-135.5150992,-12261.39759,-26697.8901,-985.2832386,-1054.877098,-4515.015812,8101.942212,3
,0.001901674,0.000300344,0.000600696,0.000490466,elasticnet,1.00E-05,0.25,"{'estimator__regressor__alpha': 1e-05, 'estimator__regressor__l1_ratio': 0.25, 'estimator__regressor__penalty': 'elasticnet'}",-937.5432427,-1889.874321,-153.2690259,-1261.860895,-260.7199022,-135.5151621,-12261.39779,-26697.89023,-985.2832578,-1054.877118,-4515.015893,8101.942245,4
,0.001801467,0.000400353,0.000800824,0.000400412,elasticnet,1.00E-05,0.5,"{'estimator__regressor__alpha': 1e-05, 'estimator__regressor__l1_ratio': 0.5, 'estimator__regressor__penalty': 'elasticnet'}",-937.543351,-1889.874473,-153.2690377,-1261.860989,-260.7199162,-135.5152252,-12261.398,-26697.89035,-985.283277,-1054.877139,-4515.015974,8101.942278,5
,0.00190165,0.000300177,0.000600576,0.000490369,elasticnet,1.00E-05,0.75,"{'estimator__regressor__alpha': 1e-05, 'estimator__regressor__l1_ratio': 0.75, 'estimator__regressor__penalty': 'elasticnet'}",-937.5434593,-1889.874625,-153.2690496,-1261.861082,-260.7199303,-135.5152883,-12261.39821,-26697.89048,-985.2832963,-1054.87716,-4515.016055,8101.94231,6
,0.002001834,6.49E-07,0.000500488,0.000500488,elasticnet,1.00E-05,0.999,"{'estimator__regressor__alpha': 1e-05, 'estimator__regressor__l1_ratio': 0.999, 'estimator__regressor__penalty': 'elasticnet'}",-937.5435672,-1889.874776,-153.2690614,-1261.861176,-260.7199443,-135.5153512,-12261.39841,-26697.8906,-985.2833155,-1054.877181,-4515.016136,8101.942343,7
,0.00200181,2.57E-07,0.000600553,0.000490349,elasticnet,0.0001,0.001,"{'estimator__regressor__alpha': 0.0001, 'estimator__regressor__l1_ratio': 0.001, 'estimator__regressor__penalty': 'elasticnet'}",-937.5450596,-1889.876443,-153.2694227,-1261.862766,-260.72035,-135.5160131,-12261.403,-26697.89547,-985.2846246,-1054.877838,-4515.017887,8101.943746,10
,0.001800776,0.000399958,0.000601387,0.000491037,elasticnet,0.0001,0.25,"{'estimator__regressor__alpha': 0.0001, 'estimator__regressor__l1_ratio': 0.25, 'estimator__regressor__penalty': 'elasticnet'}",-937.5461382,-1889.877952,-153.2695407,-1261.863701,-260.72049,-135.5166416,-12261.40505,-26697.8967,-985.2848166,-1054.878046,-4515.018695,8101.944072,11
,0.002102089,0.000300344,0.000600386,0.000490213,elasticnet,0.0001,0.5,"{'estimator__regressor__alpha': 0.0001, 'estimator__regressor__l1_ratio': 0.5, 'estimator__regressor__penalty': 'elasticnet'}",-937.5472213,-1889.879468,-153.2696593,-1261.864639,-260.7206305,-135.5172727,-12261.40711,-26697.89794,-985.2850092,-1054.878255,-4515.019507,8101.944399,12
,0.00190177,0.000300296,0.000400376,0.000490359,elasticnet,0.0001,0.75,"{'estimator__regressor__alpha': 0.0001, 'estimator__regressor__l1_ratio': 0.75, 'estimator__regressor__penalty': 'elasticnet'}",-937.5483044,-1889.880985,-153.2697779,-1261.865578,-260.7207711,-135.5179039,-12261.40916,-26697.89918,-985.2852018,-1054.878464,-4515.020318,8101.944727,13
,0.002002645,2.42E-06,0.000499606,0.000499612,elasticnet,0.0001,0.999,"{'estimator__regressor__alpha': 0.0001, 'estimator__regressor__l1_ratio': 0.999, 'estimator__regressor__penalty': 'elasticnet'}",-937.5493833,-1889.882495,-153.269896,-1261.866513,-260.7209112,-135.5185326,-12261.41121,-26697.90041,-985.2853935,-1054.878673,-4515.021127,8101.945053,14
,0.001801586,0.000400293,0.000700593,0.000458646,elasticnet,0.001,0.001,"{'estimator__regressor__alpha': 0.001, 'estimator__regressor__l1_ratio': 0.001, 'estimator__regressor__penalty': 'elasticnet'}",-937.5642699,-1889.899122,-153.2734998,-1261.88237,-260.7249582,-135.5251341,-12261.45701,-26697.94899,-985.2984536,-1054.885228,-4515.038595,8101.95905,17
,0.001901793,0.000300304,0.000600505,0.00049031,elasticnet,0.001,0.25,"{'estimator__regressor__alpha': 0.001, 'estimator__regressor__l1_ratio': 0.25, 'estimator__regressor__penalty': 'elasticnet'}",-937.5750431,-1889.914203,-153.27468,-1261.891709,-260.7263579,-135.5314121,-12261.47748,-26697.96131,-985.3003671,-1054.887307,-4515.046668,8101.96231,18
,0.00190177,0.000300296,0.000800729,0.000400364,elasticnet,0.001,0.5,"{'estimator__regressor__alpha': 0.001, 'estimator__regressor__l1_ratio': 0.5, 'estimator__regressor__penalty': 'elasticnet'}",-937.5858686,-1889.929358,-153.2758674,-1261.901096,-260.7277666,-135.5377206,-12261.49805,-26697.9737,-985.3022784,-1054.8894,-4515.054782,8101.96559,19
,0.002001667,2.19E-07,0.000300312,0.000458734,elasticnet,0.001,0.75,"{'estimator__regressor__alpha': 0.001, 'estimator__regressor__l1_ratio': 0.75, 'estimator__regressor__penalty': 'elasticnet'}",-937.5967031,-1889.944526,-153.2770573,-1261.910495,-260.7291787,-135.544034,-12261.51864,-26697.98612,-985.3041798,-1054.891497,-4515.062905,8101.968876,20
,0.00180161,0.000400305,0.000600576,0.000490369,elasticnet,0.001,0.999,"{'estimator__regressor__alpha': 0.001, 'estimator__regressor__l1_ratio': 0.999, 'estimator__regressor__penalty': 'elasticnet'}",-937.6075032,-1889.959648,-153.278245,-1261.919867,-260.7305886,-135.5503273,-12261.53916,-26697.99851,-985.3060637,-1054.893591,-4515.071003,8101.972156,21
,0.00180161,0.000400364,0.000400352,0.00049033,elasticnet,0.01,0.001,"{'estimator__regressor__alpha': 0.01, 'estimator__regressor__l1_ratio': 0.001, 'estimator__regressor__penalty': 'elasticnet'}",-937.7526287,-1890.121616,-153.3134191,-1262.074313,-260.7700318,-135.6146548,-12261.9865,-26698.47302,-985.4336839,-1054.957425,-4515.241464,8102.108927,24
,0.002001929,1.86E-07,0.000800633,0.000400317,elasticnet,0.01,0.25,"{'estimator__regressor__alpha': 0.01, 'estimator__regressor__l1_ratio': 0.25, 'estimator__regressor__penalty': 'elasticnet'}",-937.8590958,-1890.270675,-153.3251813,-1262.166741,-260.7840314,-135.676711,-12262.19109,-26698.59866,-985.4521591,-1054.97858,-4515.321925,8102.142388,25
