learning rate,batch size,components,epoch,accuracy,train_accuracy,runtime
0.1,1000,100,1500,0.833,0.84744,78.52267027
0.1,1000,125,1500,0.8376,0.85252,89.91944432
0.1,1000,150,1500,0.839,0.85324,149.167655
0.1,1000,175,1500,0.8368,0.85328,171.9339786
0.1,1000,200,1500,0.8362,0.85476,191.4084671
0.1,1000,225,1500,0.8296,0.85564,211.2685938
0.1,1000,250,1500,0.8316,0.8592,230.8764725
0.1,1000,275,1500,0.8348,0.85624,252.5164671
0.1,1000,300,1500,0.8328,0.85852,270.3904829
0.1,1000,325,1500,0.8316,0.85748,289.8381116
0.1,1000,350,1500,0.833,0.86116,307.2070582
0.1,1000,375,1500,0.8262,0.86004,318.9468505
0.1,1000,400,1500,0.8254,0.85844,335.0271797
0.1,1000,425,1500,0.827,0.85552,355.0557001
0.1,1000,450,1500,0.8298,0.85684,376.4556723
0.1,1000,475,1500,0.8222,0.85916,396.3864334
0.1,1000,500,1500,0.8212,0.86008,414.7089593
